len,std_min,std_max,std_mean,std_std,parse_integer_no_simd_min,parse_integer_no_simd_max,parse_integer_no_simd_mean,parse_integer_no_simd_std,std_delimeter_min,std_delimeter_max,std_delimeter_mean,std_delimeter_std,parse_integer_no_simd_delimeter_min,parse_integer_no_simd_delimeter_max,parse_integer_no_simd_delimeter_mean,parse_integer_no_simd_delimeter_std,parse_integer_simd_delimeter_min,parse_integer_simd_delimeter_max,parse_integer_simd_delimeter_mean,parse_integer_simd_delimeter_std,
1,35,5690,42.6028,21.2270,31,51117,37.9709,51.5822,57,51661,62.6591,75.0344,35,53062,42.7803,62.6125,37,53619,44.3881,53.9171,
2,39,46348,46.1391,37.9736,35,13552,41.8699,22.0793,61,55703,66.6731,58.4305,39,47710,45.7113,39.8867,41,48904,46.6534,41.0911,
3,43,48066,48.9838,51.3028,37,46171,43.1938,37.4849,65,48787,70.7923,79.9939,41,47488,46.4269,50.1567,41,46108,47.4191,36.2780,
4,45,45814,52.0309,38.3010,39,55237,45.3120,44.5590,69,53498,76.2994,74.6621,39,53802,48.5127,67.9489,41,47137,49.3695,39.4274,
5,49,50194,56.1142,53.7125,41,48364,47.4843,39.8081,75,46336,83.6477,64.5825,43,46306,49.4780,51.2208,41,47385,50.4147,60.2234,
6,51,48469,58.5556,71.7271,43,46607,50.2465,53.0312,83,46820,90.9415,85.2905,41,46001,49.4751,50.8550,41,48509,50.4477,53.5581,
7,57,46378,63.8466,52.6419,47,48392,52.5104,52.6447,87,48965,96.1235,73.5763,41,15321,49.4257,23.1243,43,46070,50.4728,41.2571,
8,61,46481,68.6787,52.3699,47,47369,54.6702,67.2301,95,48628,103.1971,87.4658,43,48760,49.4888,53.8655,45,48128,50.4505,39.8535,
9,67,48584,73.1839,64.2288,51,48084,56.5393,53.0269,101,51435,108.7829,74.8806,43,48082,50.4782,51.6827,43,51499,51.5113,62.1317,
10,71,47665,78.3213,64.0265,53,46306,59.5458,40.8382,105,46659,115.7169,93.5212,44,7304,51.5713,22.6647,43,48021,52.8722,72.3184,
